Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,MtCO2e,15.73,15.35,17.55,18.56,19.03,19.74,20.99,22.00,23.76,24.36,25.44,26.28,27.48,28.55,28.80,32.09,34.58,35.79,38.30,38.84,40.81,41.50,43.13,45.92,48.03,48.87,49.34,50.24,51.15,54.41
Azerbaijan,MtCO2e,74.10,71.66,80.74,60.12,40.79,39.91,34.33,33.83,34.23,34.44,36.18,35.38,35.44,38.13,38.26,41.06,42.90,41.48,45.83,41.32,40.21,41.99,45.20,46.41,47.78,47.67,48.94,48.33,49.78,52.89
Botswana,MtCO2e,54.33,53.74,53.97,53.63,53.86,54.76,56.11,55.66,55.38,55.37,55.06,56.89,57.23,50.12,50.73,52.14,53.96,52.21,60.95,51.86,62.29,67.14,54.43,55.38,54.09,53.52,52.43,56.22,54.01,52.34
Côte d'Ivoire,MtCO2e,69.72,72.44,75.07,77.75,80.58,81.50,82.32,84.08,84.88,87.08,87.08,52.27,52.64,49.94,48.33,49.60,48.52,48.00,47.58,46.14,45.83,45.50,47.15,48.61,48.52,49.29,50.65,51.00,50.74,51.51
Syria,MtCO2e,64.35,72.59,76.27,78.99,82.30,85.88,88.33,89.30,93.18,92.56,92.63,91.84,93.17,93.33,88.62,99.05,101.67,104.65,105.20,101.55,102.70,96.65,77.32,54.06,48.33,46.26,47.45,51.39,48.26,48.48
Nepal,MtCO2e,20.20,20.45,20.17,20.98,21.94,23.00,23.16,23.56,24.20,25.60,25.89,23.43,22.62,23.75,23.83,24.55,24.10,24.21,25.57,27.42,28.65,36.71,38.13,38.80,40.23,39.41,44.97,45.95,48.96,48.37
Central African Republic,MtCO2e,46.57,46.89,46.94,46.98,49.48,49.61,38.25,41.55,46.75,43.02,44.24,52.36,48.19,62.24,51.24,57.62,56.57,58.82,58.52,47.78,55.27,57.77,53.08,51.71,48.84,50.84,58.03,53.24,53.30,46.58
Solomon Islands,MtCO2e,4.30,4.31,4.32,4.34,4.36,4.37,4.39,4.40,4.42,4.43,4.45,2.25,2.27,2.29,2.33,2.37,2.38,2.39,2.39,2.41,2.43,-17.06,-17.04,-16.99,-17.02,-17.04,46.27,46.30,46.33,46.36
Switzerland,MtCO2e,51.33,53.55,53.47,51.12,50.24,51.17,51.78,50.33,51.88,52.01,51.26,52.02,50.37,51.60,52.09,52.81,52.53,50.60,52.23,50.79,52.36,48.39,49.70,50.72,46.91,46.14,46.62,45.64,44.37,44.26
Mali,MtCO2e,17.14,17.08,17.11,17.31,17.55,17.88,18.11,18.86,22.86,23.89,24.16,21.34,21.57,22.32,24.59,25.50,25.84,26.79,28.24,28.61,30.85,31.70,32.30,33.60,34.15,35.55,39.99,40.98,42.31,44.16
Denmark,MtCO2e,69.19,80.01,73.80,76.43,80.07,76.91,90.40,80.70,76.70,73.80,70.00,71.41,70.73,76.25,70.04,66.32,74.05,69.27,65.75,62.86,63.14,55.79,50.70,52.12,47.94,45.93,50.28,47.97,47.43,44.06
Niger,MtCO2e,18.68,19.14,19.63,20.29,20.79,21.37,22.12,22.78,23.72,24.31,24.83,21.09,21.88,22.78,23.65,24.55,25.48,26.67,27.89,29.23,29.34,30.36,32.40,34.17,35.87,37.08,38.79,40.22,42.06,43.96
Somalia,MtCO2e,41.89,39.00,37.06,39.04,40.98,41.64,42.08,42.47,42.31,42.38,42.55,43.10,43.49,43.72,44.02,44.46,43.19,42.09,42.11,42.14,42.34,42.50,42.80,42.92,43.06,43.12,43.01,42.84,42.80,42.51
Guinea,MtCO2e,19.41,19.73,20.05,20.41,20.83,21.23,20.68,21.11,22.58,22.14,22.57,23.54,24.71,24.93,24.95,26.43,26.76,27.12,27.72,28.19,30.45,31.83,33.14,33.18,33.68,34.28,38.10,38.60,38.90,40.61
Madagascar,MtCO2e,54.98,55.01,55.27,55.66,55.42,55.92,56.55,55.93,57.13,56.83,55.54,47.63,45.26,47.75,46.64,50.76,49.38,50.83,49.57,50.59,51.25,39.22,39.93,38.84,38.70,39.48,40.40,39.59,39.67,40.22
Dominican Republic,MtCO2e,8.51,9.62,11.10,11.59,13.57,14.08,14.99,16.67,18.61,19.21,19.91,26.02,28.45,26.12,25.41,26.73,28.65,29.85,30.00,29.49,30.84,31.99,32.80,32.57,32.92,35.35,36.22,35.47,37.64,39.76
Laos,MtCO2e,19.38,19.29,19.60,19.62,19.98,20.03,20.38,20.03,21.76,20.43,20.31,20.79,21.88,22.46,26.72,23.99,23.09,27.97,23.60,25.00,28.65,21.53,23.42,24.68,24.85,29.52,37.79,39.37,39.26,39.42
